UID,Time,totalVal
1030781205,2020/1/24,2
1030781205,2020/1/25,2
1030781205,2020/1/26,2
1030781205,2020/1/27,2
1030781205,2020/1/28,2
1030781205,2020/1/29,2
1030781205,2020/1/30,2
1030781205,2020/1/31,2
1030781205,2020/2/1,2
1030781205,2020/2/2,2
1030781205,2020/2/3,2
1030781205,2020/2/4,2
1030781205,2020/2/5,2
1030781205,2020/2/6,2
1030781205,2020/2/7,2
1030781205,2020/2/8,2
1030781205,2020/2/9,2
1030781205,2020/2/10,2
1030781205,2020/2/11,2
1030781205,2020/2/12,2
1030781205,2020/2/13,2
1030781205,2020/2/14,2
1030781205,2020/2/15,2
1030781205,2020/2/16,2
1030781205,2020/2/17,2
1030781205,2020/2/18,2
1030781205,2020/2/19,2
1030781205,2020/2/20,2
1030781205,2020/2/21,2
1030781205,2020/2/22,2
1030781205,2020/2/23,2
1030781205,2020/2/24,2
1030781205,2020/2/25,2
1030781205,2020/2/26,2
1030781205,2020/2/27,2
1030781205,2020/2/28,2
1030781205,2020/2/29,2
1030781205,2020/3/1,2
1030781205,2020/3/2,2
1030781205,2020/3/3,2
1030781205,2020/3/4,2
1030781205,2020/3/5,2
1030781205,2020/3/6,2
1030781205,2020/3/7,2
1030781205,2020/3/8,2
1030781205,2020/3/9,2
1030781205,2020/3/10,2
1030781205,2020/3/11,2
1030781205,2020/3/12,2
1030781205,2020/3/13,2
1030781205,2020/3/14,2
1030781205,2020/3/15,2
1030781205,2020/3/16,2
1030781205,2020/3/17,2
1030781205,2020/3/18,2
1030781205,2020/3/19,2
1030781205,2020/3/20,2
1030781205,2020/3/21,2
1030781205,2020/3/22,2
1030781205,2020/3/23,2
1030781205,2020/3/24,2
1030781205,2020/3/25,2
1030781205,2020/3/26,2
1030781205,2020/3/27,2
1030781205,2020/3/28,2
1030781205,2020/3/29,2
1030781205,2020/3/30,2
1030781205,2020/3/31,2
1031421740,2020/1/3,5
1031421740,2020/1/4,5
1031421740,2020/1/5,5
1031421740,2020/1/6,5
1031421740,2020/1/7,5
1031421740,2020/1/8,5
1031421740,2020/1/9,5
1031421740,2020/1/10,5
1031421740,2020/1/11,5
1031421740,2020/1/12,5
1031421740,2020/1/13,5
1031421740,2020/1/14,5
1031421740,2020/1/15,5
1031421740,2020/1/16,5
1031421740,2020/1/17,5
1031421740,2020/1/18,5
1031421740,2020/1/19,5
1031421740,2020/1/20,6
1031421740,2020/1/21,6
1031421740,2020/1/22,6
1031421740,2020/1/23,6
1031421740,2020/1/24,6
1031421740,2020/1/25,6
1031421740,2020/1/26,6
1031421740,2020/1/27,6
1031421740,2020/1/28,6
1031421740,2020/1/29,6
1031421740,2020/1/30,7
1031421740,2020/1/31,7
1031421740,2020/2/1,7
1031421740,2020/2/2,7
1031421740,2020/2/3,7
1031421740,2020/2/4,7
1031421740,2020/2/5,7
1031421740,2020/2/6,7
1031421740,2020/2/7,7
1031421740,2020/2/8,7
1031421740,2020/2/9,7
1031421740,2020/2/10,7
1031421740,2020/2/11,7
1031421740,2020/2/12,7
1031421740,2020/2/13,7
1031421740,2020/2/14,7
1031421740,2020/2/15,7
1031421740,2020/2/16,7
1031421740,2020/2/17,7
1031421740,2020/2/18,7
1031421740,2020/2/19,7
1031421740,2020/2/20,7
1031421740,2020/2/21,7
1031421740,2020/2/22,7
1031421740,2020/2/23,7
1031421740,2020/2/24,7
1031421740,2020/2/25,7
1031421740,2020/2/26,7
1031421740,2020/2/27,7
1031421740,2020/2/28,7
1031421740,2020/2/29,7
1031421740,2020/3/1,7
1031421740,2020/3/2,7
1031421740,2020/3/3,7
1031421740,2020/3/4,7
1031421740,2020/3/5,7
1031421740,2020/3/6,7
